,latitude,longitude,overall_avg_temp
0,27.3293889,92.4360113,9.715150547445255
1,27.4177713,92.2255891,9.715150547445255
2,27.3688993,92.2394672,9.715150547445255
3,19.6297,-155.43,18.45040602189781
4,-4.69057,145.975,28.525821167883212
5,39.9385466,116.1172766,12.00219890510949
6,28.85032,112.943344,18.449064781021896
7,23.666667,116.633333,22.807764598540146
8,30.605768,103.970947,17.310191605839417
9,26.08904,119.294243,19.845702554744523
10,23.1253503,112.9476548,23.320688868613136
11,31.873593,117.223663,16.973658759124085
12,36.690777,116.997299,13.522997262773723
13,25.049711,102.72274,15.723836678832114
14,24.3522958,115.8903375,20.869799270072992
15,28.706609,115.857468,19.013604014598542
16,41.8049906,123.1563167,8.115912408759124
17,31.3280439,120.364116,17.280734489051092
18,28.005496,120.701179,18.3955200729927
19,34.228154,108.960571,12.234685218978102
20,24.49421,118.08918,21.788042883211677
21,21.7895612,111.966667,23.247468065693432
22,32.4171449,119.209227,16.57475821167883
23,-19.5907,47.1211,17.218585766423356
24,27.375914,92.409383,9.715150547445255
25,27.2029222,92.3970446,19.745118613138686
26,27.1285861,92.2578307,19.745118613138686
27,39.98005,63.32233,16.03263686131387
28,51.17,71.454,3.799826642335767
29,42.0,74.0,1.564895072992701
30,38.8213,68.5549,3.464981751824818
31,39.1486,69.2422,3.018955291970803
32,7.52721,-76.7476,25.81694799270073
33,0.71489,-79.0508,20.684078467153284
34,1.32382,-70.1939,25.33245894160584
35,10.9286,-73.4056,24.87818430656934
36,5.23658,-77.1533,24.991213503649636
37,4.8791,-76.0749,21.841578467153283
38,4.25877,-77.3566,26.875447080291973
39,10.7018,-73.6363,22.8161405109489
40,0.88778,-69.5659,25.573275547445256
41,10.9485,-73.8043,22.42200729927007
42,-0.14459,-70.0749,25.579224452554747
43,6.8867,-72.097,25.234826642335765
44,8.5,-78.0,26.697290145985406
45,0.31776,-78.3729,13.180054744525547
46,13.5878,76.1198,23.91828923357664
47,9.59208,76.7651,24.780839416058395
48,10.520219,78.825989,27.87694799270073
49,16.4529,78.7024,26.485702554744528
50,40.4414,-1.11788,11.723312043795621
51,17.9344,76.6665,25.685168795620438
52,49.873398,15.10437,9.77183394160584
53,48.649,12.4676,9.655451642335766
54,48.2452,-3.78934,12.458024635036496
55,41.453,1.569,16.544333941605842
56,59.0,50.0,2.030880474452555
57,48.0,2.0,12.290000000000001
58,51.8439,18.6255,9.842673357664234
59,21.0,85.0,25.904589416058393
60,52.0,5.0,11.196026459854014
61,54.8655,9.36284,9.752554744525549
62,40.0,45.0,8.500383211678832
63,25.0,67.0,26.267335766423358
64,43.0464,12.6489,14.611683394160584
65,39.91,-8.1,14.990497262773722
66,53.0,-1.0,9.957340328467152
67,38.36,23.13,17.31215784671533
68,59.800634,17.389526,7.031327554744525
69,20.681188,105.774071,23.253074817518247
70,31.9313,91.7062,-1.6248677007299268
71,34.5177,100.485,0.09169708029197064
72,26.91,98.94,10.57286496350365
73,20.7926,93.9665,22.630889598540147
74,24.1726,98.3643,19.598818430656934
75,28.00792,98.49449,7.321751824817518
76,28.4993,96.8803,5.3904151459854015
77,29.4473,95.6472,7.01485401459854
78,28.61433,94.066429,12.588366788321169
79,27.37384,128.6187,23.72129105839416
80,37.8632119,112.4024883,9.215310218978102
81,2.55849,-76.582,18.810611313868613
82,25.4333,94.5803,18.33909215328467
83,44.0,39.33,13.246733576642336
84,43.633654,142.46167,5.441788321167884
85,42.1206,46.0332,6.336040145985401
86,58.55,25.82,6.628813868613139
87,41.850397,43.78613,10.656865875912407
88,56.046173,156.30704,0.3021806569343067
89,35.0,135.0,14.422080291970802
90,11.8,13.13,28.616856751824816
91,-3.47037,132.678,27.887121350364968
92,15.3788,-89.2452,25.098307481751828
93,63.7551,87.5466,-4.404457116788321
94,37.54,126.98,12.280209854014599
95,28.6416,84.0515,8.29607208029197
96,-38.7392,-71.277,6.666099452554745
97,48.32397,106.28874,0.6339370437956202
98,52.59,140.681,-1.8961268248175185
99,50.6319,125.017,-0.3796076642335763
100,-8.25605,37.624,25.47465784671533
101,34.916974,-3.430616,19.55029197080292
102,14.192,100.671,28.08676094890511
103,39.8667,32.8667,11.294612226277373
104,21.5461,103.164,20.869616788321167
105,29.9446,-110.681,21.128886861313866
106,64.218,154.375,-10.04124087591241
107,40.0209,116.228,12.00219890510949
108,42.317,21.3837,11.20779197080292
109,41.9026,12.4502,16.9209352189781
110,36.33,-109.38,11.975579379562044
111,11.1513,8.7804,24.94326186131387
112,37.54,126.98,12.280209854014599
113,25.266667,110.283333,18.18865875912409
114,45.846595,126.551056,4.315004562043795
115,30.071111,118.592222,15.352290145985402
116,27.733333,111.9281883,17.756788321167885
117,32.0989607,118.4575646,16.89610401459854
118,37.130642,122.434269,13.565629562043796
119,24.3479,97.7438,22.39796076642336
120,24.2142,97.9183,19.598818430656934
121,31.590536,102.660664,2.8945392335766424
122,31.79891,101.30739,2.789311131386862
123,32.18,101.84,4.834584854014598
124,24.977,91.9998,24.4792700729927
125,25.35,91.05,19.15854927007299
126,25.1154,91.6266,24.4792700729927
127,64.7628,25.5577,3.2311861313868615
128,65.1691,30.8655,1.8521304744525544
129,61.6565,29.0726,4.484073905109489
130,60.3353,34.7865,3.2415921532846714
131,57.566,22.0262,8.491569343065693
132,62.8801,13.7006,2.046765510948905
133,67.2759,17.8057,-2.5349087591240873
134,68.725,22.1113,-0.9220620437956204
135,69.4229,27.8658,-0.057235401459853875
136,68.8326,29.7204,0.08132299270073012
137,68.2158,35.8348,-0.3677463503649636
138,56.22,46.569,3.9300958029197073
139,55.8307,48.405,3.8984580291970796
140,54.1855,42.6728,5.650848540145986
141,52.8548,45.3901,5.226240875912409
142,56.12921,52.63548,3.4215145985401456
143,59.6602,54.7959,1.227249087591241
144,64.0527,54.946,-1.4278786496350362
145,46.9068585714,19.6555271429,12.802609489051095
146,62.4308,66.1218,-1.7778102189781024
147,64.4118,61.344,-3.142805656934306
148,59.9409,82.3004,-1.555497262773723
149,66.1775,71.0234,-4.778284671532846
150,68.6,86.5,-7.895228102189781
151,73.1354,86.2106,-10.416395985401461
152,24.0,90.0,25.493394160583943
153,25.0,77.0,25.52592609489051
154,34.0,71.33,19.61775091240876
155,32.9,53.3,17.13603102189781
156,37.0,43.0,18.02294708029197
157,43.3646,25.047,14.364612226277371
158,45.555,15.982,12.692404197080291
159,46.2543,14.7766,9.186158759124089
160,48.545705,18.78479,9.347011861313868
161,49.796,29.945,9.210100364963504
162,53.2307,25.6038,8.137559306569342
163,55.1429,23.9601,7.816455291970802
164,56.826108,24.309118,7.54390510948905
165,63.4837,-19.0212,4.482322080291971
166,59.92,10.71,5.281500912408759
167,53.2186,-7.61509,9.84610401459854
168,52.0,-4.0,9.531660583941607
169,46.3913,24.2256,10.755291970802919
170,40.97768,46.4737,15.817805656934306
171,40.886,69.211,15.815255474452552
172,53.59671,56.55937,3.5955656934306566
173,55.79592,49.11577,3.6307162408759126
174,61.69744,133.98031,-8.772796532846716
175,55.48701,47.16298,4.28341697080292
176,46.566667,45.316667,12.181870437956205
177,61.972,94.689,-5.949995437956204
178,47.31225,126.55713,2.551008211678832
179,48.43426,134.79726,1.6903786496350366
180,70.498,157.853,-11.58735401459854
181,68.6436,170.045,-9.93606295620438
182,52.1228,-174.29,5.131240875912409
183,63.4308,-170.272,-2.5161131386861313
184,69.3761,-52.864,-5.6064872262773715
185,43.056218,41.159115,12.157787408759123
186,41.7047,46.558,14.046742700729927
187,42.2646,45.8096,3.3935629562043794
188,42.1328,47.0809,1.9336724452554748
189,41.5157,47.8951,9.655013686131387
190,42.4257,47.4388,9.902071167883213
191,43.5,45.5,13.60573905109489
192,27.9625,43.8525,23.999069343065692
193,31.1056,35.0179,20.921505474452555
194,32.2168,77.9596,-4.81180200729927
195,29.92002,80.63653,6.352139598540146
196,25.2954,90.462,23.376820255474453
197,22.8735,92.8208,20.895529197080293
198,32.1,102.36,2.396601277372263
199,27.1606,87.5717,19.886231751824816
200,25.0,116.0,20.155228102189778
201,36.12,114.32,15.503745437956201
202,38.894904,102.246464,9.91169708029197
203,30.7416,100.983,3.25014598540146
204,45.0,34.08,11.720757299270074
205,71.10828,94.29358,-9.098608576642334
206,44.59876,28.02769,13.603339416058393
207,43.565,42.2606,2.7097080291970803
208,54.5534,25.1054,7.439434306569344
209,50.73933,107.16939,0.6477691605839416
210,34.42237,50.32223,17.2189552919708
211,43.0,47.0,11.681213503649635
212,44.89776,43.1656,11.767842153284672
213,50.8998,88.0672,-2.890323905109489
214,35.5457,102.819,6.5306934306569335
215,39.0548,99.3112,1.8185127737226274
216,52.32607,88.4344,1.593512773722628
217,50.1347,86.8705,-3.9808120437956207
218,37.08719,59.17574,11.821847627737226
219,51.7,94.36667,0.8254333941605843
220,43.88,87.38,11.094174270072992
221,-20.28,44.32,26.8055200729927
222,-13.2164,49.2402,25.3246852189781
223,-24.2,44.5,24.943640510948903
224,-19.9184,48.812,23.598722627737224
225,-23.9716,45.5937,22.41049726277372
226,-22.8,47.82,25.162276459854013
227,-15.4294,48.8102,22.26589416058394
228,-22.5582,43.8156,24.86801094890511
229,-24.9186,47.1357,22.7529151459854
230,-23.34,43.67,25.738152372262775
231,-20.8687,48.1108,22.791970802919707
232,24.6009,103.713,16.427814781021898
233,23.058,101.412,19.188845802919708
234,59.47403,29.71145,4.947089416058393
235,5.37869,37.2737,22.317983576642337
236,-4.62314,55.4503,27.554375
237,51.6621,13.9407,10.826012773722628
238,52.0,10.0,10.079005474452554
239,42.3239,46.8267,8.458918795620438
240,20.2274,-99.5564,16.21840784671533
